word,Diminutives,"Include
cream+cheese,,y,cheese,meals,,,,,,,,,,,
crumbs,,y,NA,meals,,,,,,,,,,,
dessert,,y,NA,meals,,,,,,,,,,,
dinner,,n,,meals,,,,,,,,,,,
dishes,,y,"If it only appears as ""dishes"", leave plural. If both ""dishes"" and ""dish"" appear, all go to ""dish"".",meals,,,,,,,,,,,
doughnut,,y,doughnut,meals,,,,,,,,,,,
"dressing, salad+dressing",,y,dressing,meals,,,,,,,,,,,
"egg+yolk, egg+white, egg",,y,"combine all of them, if present; if only egg+yolk occurs, make it yolk; if only egg+white occurs, keep it egg+white",meals,,,,,,,,,,,
english+muffin,,y,english+muffin,meals,,,,,,,,,,,
flatbread,,y,flatbread,meals,,,,,,,,,,,
"food, fruit, vegetables, drink, beverage",,y,NA,meals,,,,,,,,,,,
french+fries/fries,,y,fries,meals,,,,,,,,,,,
french+toast,,y,french+toast,meals,,,,,,,,,,,
fried+chicken,,y,chicken,meals,,,,,,,,,,,
frozen+yogurt,,y,frozen+yogurt,meals,,,,,,,,,,,
fruit+cup,,y,cup,meals,,,,,,,,,,,
fruit+salad,,y,salad,meals,change in 41_06 possibly,,,,,,,,,,
fruit+snacks,,y,fruit+snacks,meals,,,,,,,,,,,
graham+cracker,,y,cracker,meals,,,,,,,,,,,
granola+bar,,y,bar,meals,,,,,,,,,,,
green+beans,,y,beans,meals,,,,,,,,,,,
hot+dog,,y,hot+dog,meals,,,,,,,,,,,
ice+cream+cone,,y,cone,meals,,,,,,,,,,,
ice+cream+sandwich,,y,sandwich,meals,,,,,,,,,,,
ice+cube,,y,ice,meals,,,,,,,,,,,
iced+tea,,y,tea,meals,,,,,,,,,,,
juice,,y,juice,meals,,,,,,,,,,,
juice+box,,y,"collapse with juice, if present; if juice isn't present, leave it juice+box",meals,,,,,,,,,,,
leftovers,,y,NA,meals,,,,,,,,,,,
lunch,,n,,meals,,,,,,,,,,,
lunch+box,,y,lunch+box,meals,,,,,,,,,,,
mashed+potatoes,,y,potatoes,meals,,,,,,,,,,,
meat,,y,meat,meals,,,,,,,,,,,
meat+pie,,y,pie,meals,,,,,,,,,,,
mum+mum,,y,"include, see here",meals,,,,,,,,,,,
mush,,y,NA,meals,,,,,,,,,,,
nipple,,y,NA,meals,,,,,,,,,,,
omelet,,y,omelet,meals,,,,,,,,,,,
p+b+and+j (peanut+butter+and+jelly),,y,p+b+and+j or peanut+butter+and+jelly,meals,,,,,,,,,,,
peanut+butter,,y,peanut+butter,meals,,,,,,,,,,,
peel (orange+peel or banana+peel),,y,peel,meals,,,,,,,,,,,
picnic,,n,,meals,,,,,,,,,,,
pop,,y,pop,meals,,,,,,,,,,,
pot+pie,,y,pie,meals,,,,,,,,,,,
rice+cake,,y,rice+cake,meals,,,,,,,,,,,
roast+beef,,y,roast+beef,meals,,,,,,,,,,,
"salad, house+salad, tuna+salad, potato+salad (any kind of salad!)",,y,salad,meals,,,,,,,,,,,
"sauce, hot+sauce",,y,sauce for both,meals,,,,,,,,,,,
seafood,,y,seafood,meals,,,,,,,,,,,
sippy+cup,,y,sippy+cup,meals,,,,,,,,,,,
snack,,n,,meals,,,,,,,,,,,
"soda, soda+pop",,y,soda,meals,,,,,,,,,,,
sour+cream,,y,cream,meals,,,,,,,,,,,
spice(s),,y,spice,meals,,,,,,,,,,,
sprinkles,,y,sprinkles,meals,,,,,,,,,,,
stir+fry,,y,stir+fry,meals,,,,,,,,,,,
string+cheese,,y,cheese,meals,,,,,,,,,,,
sweet (as in candy),,y,sweet,meals,,,,,,,,,,,
sweet+potatoes,,y,"sweet+potato or sweet+potatoes, whichever is more common",meals,,,,,,,,,,,
treat,,y,NA,meals,,,,,,,,,,,
vitamins,,y,vitamins,meals,,,,,,,,,,,
water+bottle,,y,water+bottle,meals,,,,,,,,,,,
whipped cream,,y,cream,meals,,,,,,,,,,,
mouthful,,n,,measurements,,,,,,,,,,,
spoonful,,n,,measurements,,,,,,,,,,,
amoxicillin,,y,amoxicillin,medicine,,,,,,,,,,,
antibiotic/antibiotics,,y,antibiotic,medicine,,,,,,,,,,,
band+aid,,y,(lower case),medicine,,,,,,,,,,,
drugs,,y,drug,medicine,,,,,,,,,,,
eye+drops,,y,eye+drops,medicine,,,,,,,,,,,
flu+shot,,n,,medicine,,,,,,,,,,,
medicine,meds,y,medicine,medicine,,,,,,,,,,,
shot,,depends,shot,medicine,"if it's about a toy that gives shots then keep it, basic level 'shot' but if it's 'oh she has all her six month shots' then don't code it, not an object",,,,,,,,,,
air,,n,,misc,,,,,,,,,,,
alien,,y,NA,misc,,,,,,,,,,,
angel,,y,angel,misc,,,,,,,,,,,
baby+armor,,y,baby+armor (usually refers to the vest in 04's files),misc,,,,,,,,,,,
cargo,,y,NA,misc,,,,,,,,,,,
cat+fur or dog+fur,,y,NA,misc,,,,,,,,,,,
cat+hair or dog+hair,,y,hair,misc,,,,,,,,,,,
chemicals,,y,NA,misc,,,,,,,,,,,
dust,,y,dust,misc,,,,,,,,,,,
Earth,,y,"Earth as in the planet, not as in dirt (earth as in dirt is lowercase, stays earth)",misc,,,,,,,,,,,
footprint,,y,footprint,misc,,,,,,,,,,,
fuzz/fuzzy,,y,NA,misc,,,,,,,,,,,
germs,,y,NA,misc,,,,,,,,,,,
ghost,,y,NA,misc,,,,,,,,,,,
gift,,y,gift,misc,,,,,,,,,,,
glitter,,y,glitter,misc,,,,,,,,,,,
hole,,y,NA,misc,,,,,,,,,,,
horn,,y,horn,misc,,,,,,,,,,,
id,,y,NA,misc,"only code if it's a concrete thing, look at my id, not we have IDs assigned for the participants",,,,,,,,,,
kit,,y,kit,misc,,,,,,,,,,,
knot,,y,knot,misc,,,,,,,,,,,
letters,,y,NA,misc,Only code when they're physical objects (keep actual letters as themselves at basic level),,,,,,,,,,
machine,,y,NA,misc,,,,,,,,,,,
mold,,y,NA,misc,,,,,,,,,,,
monster,,y,NA,misc,,,,,,,,,,,
neti+pot,,y,neti+pot,misc,,,,,,,,,,,
numbers (the word),,n,,misc,"""look at all these numbers!""",,,,,,,,,,
obstacles,,n,NA,misc,,,,,,,,,,,
package,,y,package,misc,,,,,,,,,,,
path,,n,,misc,,,,,,,,,,,
pile,,n,,misc,,,,,,,,,,,
planet,,y,planet,misc,,,,,,,,,,,
poison,,y,NA,misc,,,,,,,,,,,
powder,,y,powder,misc,,,,,,,,,,,
present,,y,present,misc,,,,,,,,,,,
prize,,n,,misc,,,,,,,,,,,
recording+device,,y,NA,misc,,,,,,,,,,,
shadow,,y,shadow,misc,,,,,,,,,,,
sign,,y,NA,misc,,,,,,,,,,,
signal,,y,"NA (only code if it's a concrete thing, like a turn signal)",misc,,,,,,,,,,,
steam,,y,NA,misc,,,,,,,,,,,
stomach+bug,,n,,misc,,,,,,,,,,,
strap,,y,strap,misc,,,,,,,,,,,
symbol,,n,NA,misc,,,,,,,,,,,
toxin,,y,NA,misc,,,,,,,,,,,
word,,n,,misc,,,,,,,,,,,
world,,n,,misc,,,,,,,,,,,
wrapper,,y,NA,misc,,,,,,,,,,,
X+thing,,y,"If ""X"" is the object (ex: ""ball+thing"" is a ball), it goes to the word. If it's not (ex. ""shoe+thing"" is a thing that holds shoes), it goes to NA.",misc,,,,,,,,,,,
babysitter,,n,,occupations,,,,,,,,,,,
baker,,y,baker,occupations,,,,,,,,,,,
"bus+driver, truck+driver",,y,driver,occupations,,,,,,,,,,,
doctor,doc,y,doctor,occupations,,,,,,,,,,,
flight+attendant,,y,flight+attendant,occupations,,,,,,,,,,,
juggler,,n,,occupations,,,,,,,,,,,
police,,n,,occupations,"""Call the police""",,,,,,,,,,
policeman,,y,policeman,occupations,,,,,,,,,,,
princesses,,y,princess,occupations,,,,,,,,,,,
engineer,,y,NA,occupations,,,,,,,,,,,
conductor,,y,NA,occupations,,,,,,,,,,,
researcher,,y,NA,occupations,,,,,,,,,,,
superhero,,y,NA,occupations,,,,,,,,,,,
teacher,,n,,occupations,,,,,,,,,,,
waitress,,n,,occupations,,,,,,,,,,,
backyard,,n,,outside,,,,,,,,,,,
bay,,y,bay,outside,,,,,,,,,,,
birdbath,,y,bath,outside,,,,,,,,,,,
birdhouse,,y,house,outside,,,,,,,,,,,
birdseed,,y,seed,outside,,,,,,,,,,,
creek,,y,creek,outside,,,,,,,,,,,
deck,,y,deck,outside,,,,,,,,,,,
dirt,,y,dirt,outside,,,,,,,,,,,
driveway,,y,driveway,outside,,,,,,,,,,,
field,,y,field,outside,,,,,,,,,,,
fishing+pole,,y,pole,outside,,,,,,,,,,,
floatation+device,,y,NA,outside,,,,,,,,,,,
grass,,y,grass,outside,,,,,,,,,,,
ground,,n,,outside,,,,,,,,,,,
hill,,y,hill,outside,,,,,,,,,,,
hot+tub,,y,hot+tub,outside,,,,,,,,,,,
ladybug,,y,ladybug,outside,,,,,,,,,,,
lawn+mower,,y,"if mower occurs, make mower; otherwise, leave as lawn+mower",outside,,,,,,,,,,,
mountain,,y,mountain,outside,,,,,,,,,,,
mud,,y,mud,outside,,,,,,,,,,,
neighborhood,,n,,outside,,,,,,,,,,,
parade,,n,,outside,,,,,,,,,,,
parking+lot,,y,parking+lot,outside,,,,,,,,,,,
plant,,y,plant,outside,,,,,,,,,,,
pollen,,y,NA,outside,,,,,,,,,,,
porch,,y,porch,outside,,,,,,,,,,,
puddle,,y,puddle,outside,,,,,,,,,,,
rainbow,,y,rainbow,outside,,,,,,,,,,,
road,,y,road,outside,,,,,,,,,,,
roof,,y,roof,outside,,,,,,,,,,,
root(s),,y,root,outside,,,,,,,,,,,
roots,,y,root,outside,,,,,,,,,,,
runway,,y,runway,outside,,,,,,,,,,,
sand+castle,,y,sand+castle,outside,,,,,,,,,,,
seashell,,y,seashell,outside,,,,,,,,,,,
sky,,y,sky,outside,,,,,,,,,,,
slip+n+slide,,y,slip+n+slide,outside,,,,,,,,,,,
snowball,,y,snowball,outside,,,,,,,,,,,
stands,,y,stands (like in a sports arena),outside,,,,,,,,,,,
stop+sign,,y,stop+sign,outside,,,,,,,,,,,
stoplight,,y,stoplight,outside,,,,,,,,,,,
street,,y,street,outside,,,,,,,,,,,
sun,,y,sun,outside,,,,,,,,,,,
sunflower,,y,flower,outside,,,,,,,,,,,
waves,,y,wave,outside,,,,,,,,,,,
weeds,,y,NA,outside,,,,,,,,,,,
bill,,y,bill,papers,,,,,,,,,,,
"birth+certificate, certificate",,y,certificate (if it's a hard copy),papers,,,,,,,,,,,
bucks,,y,bucks,papers,,,,,,,,,,,
card,,y,card,papers,,,,,,,,,,,
consent+form,,y,form (only code if it's a physical paper),papers,,,,,,,,,,,
coupon ,,y,coupon,papers,,,,,,,,,,,
dollar,,y,dollar,papers,"DO NOT INCLUDE: ""How many dollars is that toy?""",,,,,,,,,,
dollars,,y,dollar,papers,,,,,,,,,,,
homework,,n,,papers,,,,,,,,,,,
list,grocery+list,y,NA,papers,,,,,,,,,,,
mail,,y,mail,papers,,,,,,,,,,,
money,,y,money,papers,"""Look at the money!""",,,,,,,,,,
newspaper,,y,newspaper (if it's hard copy),papers,,,,,,,,,,,
page,,y,page,papers,,,,,,,,,,,
paper(s),,y,paper,papers,,,,,,,,,,,
paper+clip,,y,clip,papers,,,,,,,,,,,
paperwork,,n,,papers,,,,,,,,,,,
postcard,,y,postcard,papers,,,,,,,,,,,
receipt,,y,receipt,papers,,,,,,,,,,,
recipe,,n/y,recipe,papers,"""Here's the recipe for the pie!"" and it's a hard copy: yes, include.
DO NOT INCLUDE: ""Let me look up the recipe online""",,,,,,,,,,
child,,n,,people,,,,,,,,,,,
passenger,,n,,people,,,,,,,,,,,
airport,,y,airport,places,,,,,,,,,,,
animal+fair,,n,,places,,,,,,,,,,,
baby+lab,,n,,places,,,,,,,,,,,
bank,,y,bank,places,,,,,,,,,,,
bar,,y,bar,places,,,,,,,,,,,
beach,,y,beach,places,,,,,,,,,,,
building,,y,building,places,,,,,,,,,,,
bus+stop,,y,bus+stop,places,,,,,,,,,,,
classroom,,y,classroom,places,,,,,,,,,,,
factory,,y,NA,places,,,,,,,,,,,
farm,,y,farm,places,,,,,,,,,,,
forest,,y,forest,places,,,,,,,,,,,
garden,,y,garden,places,,,,,,,,,,,
gym,,y,NA,places,,,,,,,,,,,
home,,n,,places,,,,,,,,,,,
house,,y,house,places,,,,,,,,,,,
jail,,y,NA,places,,,,,,,,,,,
library,,y,library,places,,,,,,,,,,,
lighthouse,,y,lighthouse,places,,,,,,,,,,,
market (farmer's or public),,y,market,places,,,,,,,,,,,
Niagara+falls,,y,falls,places,,,,,,,,,,,
ocean,,y,ocean,places,,,,,,,,,,,
office,,y,office,places,,,,,,,,,,,
playground,,y,playground,places,,,,,,,,,,,
preschool,,y,school,places,,,,,,,,,,,
river,,y,river,places,,,,,,,,,,,
school,,y,school,places,,,,,,,,,,,
seashore,,y,seashore,places,,,,,,,,,,,
"space, outer+space",,y,NA,places,,,,,,,,,,,
store,,y,NA,places,,,,,,,,,,,
Target,,n,,places,,,,,,,,,,,
tavern,,y,tavern,places,,,,,,,,,,,
town,,y,NA,places,,,,,,,,,,,
tree+house,,y,house,places,,,,,,,,,,,
valley,,y,valley,places,,,,,,,,,,,
Walmart,,n,,places,,,,,,,,,,,
Wegmans,,n,,places,,,,,,,,,,,
woods,,y,woods,places,"""in the woods""",,,,,,,,,,
zoo,,y,zoo,places,,,,,,,,,,,
attic,,n,,rooms,,,,,,,,,,,
basement,,n,,rooms,,,,,,,,,,,
cafeteria,,y,cafeteria,rooms,,,,,,,,,,,
ceiling,,y,NA,rooms,,,,,,,,,,,
closet,,y,closet,rooms,,,,,,,,,,,
dining room,,n,,rooms,,,,,,,,,,,
garage,,y,garage,rooms,,,,,,,,,,,
hallway or hall(s),,n,,rooms,,,,,,,,,,,
kitchen,,depends,"don't code if it's just the room, buf if it's a toy kitchen set, code as kitchen for basic level",rooms,,,,,,,,,,,
room,,n,,rooms,,,,,,,,,,,
walls,,y,wall,rooms,,,,,,,,,,,
circle,,y,circle,shapes,,,,,,,,,,,
polka+dots,,y,polka+dots,shapes,,,,,,,,,,,
shape,,y,NA,shapes,,,,,,,,,,,
spots,,y,spot,shapes,,,,,,,,,,,
star,,y,star,shapes,,,,,,,,,,,
stripes,,y,stripe,shapes,,,,,,,,,,,
triangle,,y,triangle,shapes,,,,,,,,,,,
ashes,,y,ashes,songs/games,,,,,,,,,,,
game,,n,,songs/games,,,,,,,,,,,
Itsy+bitsy+spider,,y,"spider (only code if it's the character, NOT if it's the song title/game); leave Itsy+bitsy+spider if book title",songs/games,,,,,,,,,,,
muffin+man,,n,,songs/games,,,,,,,,,,,
pattycake,,n,,songs/games,,,,,,,,,,,
peekaboo,,n,,songs/games,,,,,,,,,,,
Pointer (the finger song),,y,pointer,songs/games,,,,,,,,,,,
posie,,y,posie,songs/games,Pocket full of posie,,,,,,,,,,
rosie,,y,rosie,songs/games,Ring around the rosie,,,,,,,,,,
song,,n,,songs/games,,,,,,,,,,,
Thumbkin,,y,thumb,songs/games,,,,,,,,,,,
treetop,,y,tree,songs/games,,,,,,,,,,,
waterspout,,y,spout,songs/games,,,,,,,,,,,
app or application,,n,,technology,,,,,,,,,,,
apple+tv,,y,apple+tv,technology,as long as it's referring to the object,,,,,,,,,,
c+d,,y,c+d,technology,,,,,,,,,,,
c+d+player,,y,c+d+player,technology,,,,,,,,,,,
d+v+d,,y,d+v+d,technology,,,,,,,,,,,
d+v+d+player,,y,d+v+d+player,technology,,,,,,,,,,,
display,,y,NA; only code if it's physical (e.g. a window display or tv display),technology,,,,,,,,,,,
email,,n,,technology,,,,,,,,,,,
iphone,,y,phone (then follow rules for phone/telephone),technology,,,,,,,,,,,
recorder,,y,recorder,technology,,,,,,,,,,,
remote OR remote+control,,y,remote,technology,,,,,,,,,,,
screen,,y,NA,technology,,,,,,,,,,,
speaker phone,,n,,technology,"""am i on speaker phone?""",,,,,,,,,,
technology,,n,,technology,,,,,,,,,,,
telephone,,y,"telephone if phone doesn't occur, but if phone occurs, make all phone",technology,,,,,,,,,,,
text message,,n,,technology,,,,,,,,,,,
video/movie,,depends,video/movie,technology,"only code if it's actually a movie casettes dvd box, etc, so 'those are your movies' yes but 'let's watch a movie later' no",,,,,,,,,,
video+game,,y,video+game (ONLY CODE if it's referring to a physical copy),technology,,,,,,,,,,,
baby+doll,,y,"baby or doll, whichever is most common",toys,,,,,,,,,,,
Barbie,,y,Barbie,toys,,,,,,,,,,,
basketball,,y,ball,toys,"""Catch the basketball!""
DO NOT INCLUDE: ""Let's play basketball!""",,,,,,,,,,
Beatbo,,y,Beatbo,toys,,,,,,,,,,,
"bike, bicycle",,y,most common form,toys,,,,,,,,,,,
bubbles,,y,bubble,toys,,,,,,,,,,,
cash+register,,y,"cash+register if register doesn't occur; if register occurs, make all register",toys,,,,,,,,,,,
cootie(s),,y/n,"if it's the cooties toy, make cootie; if it's ""you've got cooties"" don't code",toys,,,,,,,,,,,
d+n+a,,y,d+n+a,toys,,,,,,,,,,,
deck (of cards),,y,deck,toys,,,,,,,,,,,
doll,,y,doll,toys,,,,,,,,,,,
dollhouse,,y,house,toys,,,,,,,,,,,
drumset,,y,drumset,toys,,,,,,,,,,,
exersaucer,,y,(lower case),toys,,,,,,,,,,,
exersaucer,,y,exersaucer,toys,,,,,,,,,,,
fire+truck,,y,fire+truck,toys,,,,,,,,,,,
football,,y,ball,toys,,,,,,,,,,,
jump+rope,,y,jump+rope,toys,,,,,,,,,,,
legos,,y,lego (lower case),toys,,,,,,,,,,,
lovey,,y,lovey,toys,,,,,,,,,,,
mega+bloks,,y,block,toys,,,,,,,,,,,
mousekatool,,y,NA,toys,,,,,,,,,,,
Mr+potato+head,,y,Mr+potato+head,toys,,,,,,,,,,,
pack+n+play,,y,pack+n+play,toys,,,,,,,,,,,
"piece, puzzle+piece",,y,"puzzle or piece, whichever is most common",toys,DO NOT CODE 'piece of food',,,,,,,,,,
piggy+bank,,y,"collapse with bank, if present. otherwise, piggy+bank",toys,,,,,,,,,,,
play+doh,,y,play+doh,toys,,,,,,,,,,,
racetrack,,y,track,toys,,,,,,,,,,,
rubber+ducky,,y,"duck or ducky, whichever is most common",toys,,,,,,,,,,,
rubiks+cube,,y,cube,toys,,,,,,,,,,,
shopping+cart,,y,cart,toys,,,,,,,,,,,
soccer+ball,,y,ball,toys,,,,,,,,,,,
story,,y,NA,toys,"Only code if it's referring to an object (usually a book): ""Do you want to read a story?"" 
DO NOT CODE: ""There are three great stories in this book""",,,,,,,,,,
stuffed+animal,,y,stuffed+animal,toys,,,,,,,,,,,
swing+set,,y,swing+set,toys,,,,,,,,,,,
teddy+bear,,y,teddy+bear,toys,,,,,,,,,,,
toy,,y,NA,toys,,,,,,,,,,,
train+track,,y,track,toys,,,,,,,,,,,
treasure,,y,NA,toys,,,,,,,,,,,
treasure+chest,,y,treasure+chest,toys,,,,,,,,,,,
tunnel,,y,tunnel,toys,this is usually a toy tunnel in the living room,,,,,,,,,,
airplane,,y,"If ""plane"" is present, go with most common form. If equally common, use ""airplane""",vehicles,,,,,,,,,,,
brakes,,y,brakes,vehicles,leave as plural,,,,,,,,,,
cargo+hold,,y,cargo+hold,vehicles,,,,,,,,,,,
dump+truck,,y,truck,vehicles,,,,,,,,,,,
engine,,y,engine,vehicles,,,,,,,,,,,
gas+can,,y,gas+can,vehicles,,,,,,,,,,,
gas+tank,,y,gas+tank,vehicles,,,,,,,,,,,
gasoline,,y,gasoline,vehicles,,,,,,,,,,,
police+car,,y,police+car,vehicles,,,,,,,,,,,
rocket+ship,,y,"rocket or rocket+ship, whichever is most common",vehicles,,,,,,,,,,,
sailboat,,y,boat,vehicles,,,,,,,,,,,
school+bus,,y,bus,vehicles,,,,,,,,,,,
taxi+cab,,y,taxi,vehicles,,,,,,,,,,,
vehicle,,y,NA,vehicles,,,,,,,,,,,
fog,,y,NA,weather,,,,,,,,,,,
lightning,,y,lightning,weather,,,,,,,,,,,
meteor+shower,,y,meteor,weather,,,,,,,,,,,
moonlight,,n,,weather,,,,,,,,,,,
rain,,y,NA,weather,,,,,,,,,,,
raindrop,,y,NA,weather,,,,,,,,,,,
ray (of sunshine),,n,,weather,,,,,,,,,,,
snow,,y,NA,weather,,,,,,,,,,,
snow+angel,,y,snow+angel,weather,,,,,,,,,,,
snowflake,,y,NA,weather,,,,,,,,,,,
snowplow,,y,plow,weather,,,,,,,,,,,
sunshine,,n,,weather,,,,,,,,,,,
thunder,,n,,weather,,,,,,,,,,,
thunderstorm,,y,NA,weather,,,,,,,,,,,
wind,,n,,weather,,,,,,,,,,,
"tan, tan+line",,n,,outside,,,,,,,,,,,
librarian,,n,,occupations,,,,,,,,,,,
fist,,y,fist,body parts,,,,,,,,,,,
smores,,y,smores,meals,,,,,,,,,,,
snow+cone,,y,cone,meals,,,,,,,,,,,
bed+time,,y,bed,,,,,,,,,,,,